nid	len
570422	1568
570463	1567
576980	1567
574017	1566
570477	1565
574214	1564
578848	1562
572711	1562
573902	1562
570539	1561
573421	1561
568888	1560
570953	1560
572601	1560
576233	1559
573454	1558
573377	1558
574519	1557
568675	1557
569506	1557
571348	1557
573709	1555
568910	1555
570492	1555
569234	1555
568993	1555
573417	1555
571152	1554
568960	1554
570242	1554
571225	1553
577768	1553
577523	1553
574486	1552
568882	1552
573402	1552
577887	1551
569477	1551
577637	1550
571788	1550
578966	1550
577283	1549
570024	1549
571246	1548
571807	1548
577644	1547
574344	1547
576170	1547
572685	1545
574173	1544
571965	1543
569242	1543
573345	1543
576154	1541
572664	1540
578872	1539
576848	1539
579725	1539
572886	1539
571904	1538
574426	1538
569115	1537
569236	1537
577640	1536
571165	1535
576815	1535
576384	1535
573346	1535
576424	1534
571244	1532
574538	1531
573430	1531
567560	1530
576486	1530
576059	1529
570094	1527
571151	1526
576856	1526
574087	1526
577428	1526
576243	1526
577108	1525
574312	1525
579497	1525
573679	1525
571239	1524
577526	1524
574393	1522
570434	1521
574131	1521
570385	1520
571128	1520
571166	1519
576173	1519
573107	1519
568578	1518
579030	1518
576780	1517
571218	1517
578202	1517
569243	1517
574120	1516
574488	1515
568697	1515
571966	1513
574583	1513
578442	1513
577219	1513
579031	1512
573446	1511
572604	1511
574221	1510
571717	1510
568689	1510
568722	1510
578228	1510
571350	1510
570866	1510
570098	1509
576757	1509
577961	1508
571125	1508
571160	1507
578594	1506
577849	1506
571214	1506
580447	1506
567675	1506
577779	1506
578942	1505
569998	1504
569318	1504
577545	1503
570013	1503
578478	1503
580317	1503
576230	1502
571211	1501
576160	1501
576745	1500
579773	1498
576204	1498
577645	1497
575902	1497
576854	1495
570238	1495
568187	1494
567508	1493
569560	1493
567743	1492
576479	1491
573380	1490
576389	1489
575374	1489
578231	1489
574392	1489
572602	1489
576195	1488
568742	1486
574377	1486
576674	1484
569518	1484
570100	1484
573701	1483
570485	1483
568981	1483
574114	1483
576215	1483
571884	1483
568867	1482
570714	1482
570012	1482
577213	1482
578502	1482
576152	1481
579226	1481
571591	1481
573906	1481
577562	1480
571368	1480
573424	1480
571177	1479
571715	1478
574138	1478
580137	1477
569508	1477
576975	1476
567866	1475
576882	1475
571849	1475
576463	1475
579572	1475
575454	1474
568077	1473
576536	1472
579452	1472
567782	1472
576954	1471
576468	1471
575975	1471
574509	1470
579253	1469
578501	1469
579071	1468
574172	1467
570435	1466
576408	1466
570495	1463
567934	1462
567955	1462
575434	1462
567788	1462
578858	1461
574013	1461
576994	1461
577855	1460
578444	1460
574354	1460
577950	1460
568327	1459
569074	1459
568716	1458
571873	1458
577015	1458
576809	1457
579037	1457
579573	1457
576796	1455
571960	1455
568379	1455
576711	1455
579361	1454
577954	1454
574010	1453
571600	1452
576864	1451
572461	1448
572476	1448
574378	1448
573975	1447
576807	1446
571568	1446
571552	1445
567509	1445
578829	1444
578668	1444
574130	1444
576741	1444
574182	1444
571690	1442
570415	1442
569229	1442
576771	1441
570783	1441
580095	1441
573900	1440
577527	1440
570997	1439
569248	1439
569190	1438
576728	1438
578918	1437
576816	1436
570455	1436
573640	1436
574400	1435
574122	1434
576800	1433
571967	1433
567958	1433
570826	1433
574477	1432
574166	1432
568037	1432
573468	1431
577138	1430
569548	1430
569106	1427
579762	1427
579009	1427
574480	1426
574023	1425
578823	1424
574083	1424
567718	1422
579600	1421
574245	1421
567670	1421
576153	1421
575448	1421
579038	1421
567784	1421
576092	1420
573596	1420
576706	1420
580464	1419
570490	1419
577709	1419
576702	1419
579956	1418
577458	1418
568055	1418
576680	1417
569109	1416
577240	1416
576787	1415
571159	1415
577646	1415
572340	1415
577867	1413
572712	1412
569194	1412
571907	1411
578892	1411
578696	1411
578212	1411
567885	1408
570104	1408
579332	1407
578626	1407
571897	1407
571902	1407
576376	1406
571694	1405
579144	1405
568725	1405
572321	1405
569512	1405
576974	1405
571357	1405
571880	1405
577088	1404
571002	1403
